word,display,translation,example,type,example_source,question_id,count,target_language
bund,"der Bund, Bünde",bundle,"Bund, Länder und Kommunen.",noun,answer,64,88,en
staat,"der Staat, Staaten",state,Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.,noun,answer,3,32,en
wahl,"die Wahl, Wahlen",Choice,Wahlen in Deutschland sind frei. Was bedeutet das?,noun,question,5,28,en
bundesland,"das Bundesland, Bundesländer",federal state,Wie viele Bundesländer hat die Bundesrepublik Deutschland?,noun,question,24,22,en
bürger,"der Bürger, Bürger",citizens,Ungleichbehandlung der Bürgerinnen und Bürger durch den Staat.,noun,answer,17,21,en
kanzler,"der Kanzler, Kanzler",chancellor,Sie/Er schlägt die Kanzlerin/den Kanzler zur Wahl vor.,noun,answer,70,18,en
partei,"die Partei, Parteien",party,Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?,noun,question,12,16,en
regierung,"die Regierung, Regierungen",government,"In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …",noun,question,1,16,en
richter,"der Richter, Richter",judge,entscheidet mit Richterinnen/Richtern über Schuld und Strafe.,noun,answer,140,16,en
bundeskanzler,"der Bundeskanzler, Bundeskanzler",federal chancellor,Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben der deutschen Bundespräsidentin/des deutschen Bundespräsidenten?,noun,question,70,14,en
arbeit,"die Arbeit, Arbeiten",work,Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?,noun,question,104,13,en
bundespräsident,"der Bundespräsident, Bundespräsidenten",federal president,Die Bundespräsidentin/den Bundespräsidenten,noun,answer,44,13,en
aufgabe,"die Aufgabe, Aufgaben",task,Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?,noun,question,46,12,en
gesetz,"das Gesetz, Gesetze",law,Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.,noun,answer,3,12,en
arbeitnehmer,"der Arbeitnehmer, Arbeitnehmer",employee,Arbeitgeberinnen/Arbeitgeber und Arbeitnehmerinnen/Arbeitnehmer,noun,answer,99,10,en
gericht,"das Gericht, Gerichte",court,die Gerichte,noun,answer,63,9,en
grundgesetz,"das Grundgesetz, Grundgesetze",constitution,Grundgesetz,noun,answer,6,9,en
freiheit,"die Freiheit, Freiheiten",freedom,Einigkeit und Recht und Freiheit …,noun,answer,40,8,en
gebiet,"das Gebiet, Gebiete",area,Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?,noun,question,59,8,en
weltkrieg,"der Weltkrieg, Weltkriege",world war,Ende des Zweiten Weltkriegs in Europa,noun,answer,153,8,en
abgeordnete,die Abgeordnete,MP,"alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.",noun,answer,13,7,en
behörde,"die Behörde, Behörden",authority,bei einer Firma oder Behörde beschäftigt.,noun,answer,23,7,en
eltern,Eltern,parents,"In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …",noun,question,2,7,en
