word,display,translation,example,type,example_source,question_id,count,target_language
bund,"der Bund, Bünde","bundle , فدرال","Bund, Länder und Kommunen.",noun,answer,64,88,"en,fa"
staat,"der Staat, Staaten","state , دولت",Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.,noun,answer,3,32,"en,fa"
wahl,"die Wahl, Wahlen","Choice , انتخاب",Wahlen in Deutschland sind frei. Was bedeutet das?,noun,question,5,28,"en,fa"
bundesland,"das Bundesland, Bundesländer","federal state , ایالت فدرال",Wie viele Bundesländer hat die Bundesrepublik Deutschland?,noun,question,24,22,"en,fa"
bürger,"der Bürger, Bürger","citizens , شهروندان",Ungleichbehandlung der Bürgerinnen und Bürger durch den Staat.,noun,answer,17,21,"en,fa"
kanzler,"der Kanzler, Kanzler","chancellor , صدراعظم",Sie/Er schlägt die Kanzlerin/den Kanzler zur Wahl vor.,noun,answer,70,18,"en,fa"
partei,"die Partei, Parteien","party , مهمانی",Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?,noun,question,12,16,"en,fa"
regierung,"die Regierung, Regierungen","government , دولت","In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …",noun,question,1,16,"en,fa"
richter,"der Richter, Richter","judge , قضاوت کنید",entscheidet mit Richterinnen/Richtern über Schuld und Strafe.,noun,answer,140,16,"en,fa"
bundeskanzler,"der Bundeskanzler, Bundeskanzler","federal chancellor , صدراعظم",Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben der deutschen Bundespräsidentin/des deutschen Bundespräsidenten?,noun,question,70,14,"en,fa"
arbeit,"die Arbeit, Arbeiten","work , کار کردن",Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?,noun,question,104,13,"en,fa"
bundespräsident,"der Bundespräsident, Bundespräsidenten","federal president , رئیس جمهور فدرال",Die Bundespräsidentin/den Bundespräsidenten,noun,answer,44,13,"en,fa"
aufgabe,"die Aufgabe, Aufgaben","task , وظیفه",Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?,noun,question,46,12,"en,fa"
gesetz,"das Gesetz, Gesetze","law , قانون",Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.,noun,answer,3,12,"en,fa"
arbeitnehmer,"der Arbeitnehmer, Arbeitnehmer","employee , کارمندان",Arbeitgeberinnen/Arbeitgeber und Arbeitnehmerinnen/Arbeitnehmer,noun,answer,99,10,"en,fa"
gericht,"das Gericht, Gerichte","court , دادگاه",die Gerichte,noun,answer,63,9,"en,fa"
grundgesetz,"das Grundgesetz, Grundgesetze","constitution , قانون اساسی",Grundgesetz,noun,answer,6,9,"en,fa"
freiheit,"die Freiheit, Freiheiten","freedom , آزادی",Einigkeit und Recht und Freiheit …,noun,answer,40,8,"en,fa"
gebiet,"das Gebiet, Gebiete","area , منطقه",Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?,noun,question,59,8,"en,fa"
weltkrieg,"der Weltkrieg, Weltkriege","world war , جنگ جهانی",Ende des Zweiten Weltkriegs in Europa,noun,answer,153,8,"en,fa"
abgeordnete,die Abgeordnete,"MP , نماینده مجلس","alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.",noun,answer,13,7,"en,fa"
behörde,"die Behörde, Behörden","authority , اقتدار",bei einer Firma oder Behörde beschäftigt.,noun,answer,23,7,"en,fa"
eltern,Eltern,"parents , پدر و مادر","In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …",noun,question,2,7,"en,fa"
gewalt,"die Gewalt, Gewalten","Violence , زور",Was ist keine staatliche Gewalt in Deutschland?,noun,question,32,7,"en,fa"
jüdisch,jüdische,"Jewish , یهودی",Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?,word,question,59,7,"en,fa"
leben,"das Leben, Leben","live , زندگی",Die Ehegatten führen mindestens ein Jahr getrennt ihr eigenes Leben. Danach ist die Scheidung möglich.,noun,answer,254,7,"en,fa"
wirtschaft,"die Wirtschaft, Wirtschaften","economy , کسب و کار","Soziale Marktwirtschaft bedeutet, die Wirtschaft …",noun,question,171,7,"en,fa"
arbeitgeber,"der Arbeitgeber, Arbeitgeber","employer , کارفرما",Arbeitgeberinnen/Arbeitgeber und Arbeitnehmerinnen/Arbeitnehmer,noun,answer,99,6,"en,fa"
bundestagswahl,"die Bundestagswahl, Bundestagswahlen","federal election , انتخابات فدرال","Je mehr ""Zweitstimmen"" eine Partei bei einer Bundestagswahl bekommt, desto …",noun,question,93,6,"en,fa"
grundrecht,"das Grundrecht, Grundrechte","fundamental right , حق اساسی",Welches Recht gehört zu den Grundrechten in Deutschland?,noun,question,4,6,"en,fa"
bildung,"die Bildung, Bildungen","education , آموزش و پرورش",Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland …,noun,question,31,5,"en,fa"
geld,"das Geld, Gelder","money , پول","Man darf Geld annehmen, wenn man dafür eine bestimmte Kandidatin/einen bestimmten Kandidaten wählt.",noun,answer,5,5,"en,fa"
gemeinde,"die Gemeinde, Gemeinden","community , جامعه",Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?,noun,question,59,5,"en,fa"
mauer,"die Mauer, Mauern","wall , دیوار",Wer baute die Mauer in Berlin?,noun,question,151,5,"en,fa"
meinung,"die Meinung, Meinungen","opinion , نظر",weil dadurch die unterschiedlichen Meinungen der Bürgerinnen und Bürger vertreten werden,noun,answer,41,5,"en,fa"
nachbarland,"das Nachbarland, Nachbarländer","neighboring country , کشور همسایه",Welches Land ist ein Nachbarland von Deutschland?,noun,question,222,5,"en,fa"
reich,"das Reich, Reiche","rich , ثروتمند","Das ""Dritte Reich"" war eine …",noun,question,158,5,"en,fa"
sozialversicherung,"die Sozialversicherung, Sozialversicherungen","social insurance , تامین اجتماعی",Womit finanziert der deutsche Staat die Sozialversicherung?,noun,question,35,5,"en,fa"
besatzungszone,"die Besatzungszone, Besatzungszonen","occupation zone , منطقه اشغال",In welcher Besatzungszone wurde die DDR gegründet? In der …,noun,question,172,4,"en,fa"
bürgermeister,"der Bürgermeister, Bürgermeister","mayor , شهردار",In Deutschland ist eine Bürgermeisterin/ein Bürgermeister …,noun,question,131,4,"en,fa"
einwohner,"der Einwohner, Einwohner","inhabitants , مقیم",Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.,noun,answer,3,4,"en,fa"
fernseher,"der Fernseher, Fernseher","television , تلویزیون","Sie haben in Deutschland einen Fernseher gekauft. Zu Hause packen Sie den Fernseher aus, doch er funktioniert nicht. Der Fernseher ist kaputt. Was können Sie machen?",noun,question,290,4,"en,fa"
gastarbeiter,"der Gastarbeiter, Gastarbeiter","guest worker , کارگران مهمان",Gastarbeiterinnen/Gastarbeiter.,noun,answer,299,4,"en,fa"
